year,to_country_id,to_country,performer,song,place_contest,running_final,place_final,points_final,points_tele_final,points_jury_final,lyrics,youtube_url
1957,nl,Netherlands,Corry Brokken,Net Als Toen,1,6,1,31,0,31,"Zit niet zo suf met die eeuwige krant\nGaap niet van slaap of verveling\n'k Ben toch je vrouw en ik eet uit je hand\nMaar 'k eet niet van de bedeling\n\nKijk me niet aan of je denkt: 'leef je nog?'\nBen ik nog altijd die vrouw\nWaarmee je destijds - wanneer was dat toch?\nPer se dat avontuurtje hebben wou\n\nWees nog eens lief, net als toen\nVraag me nog eens om een zoen\nBreng me weer rozen, sta weer te blozen\nAls je me ziet, net als toen\nWees nog eens lief en galant\nVind me weer mooi en charmant\nDan wordt de wereld weer net als vroeger\nEen sprookjesland\n\nJa, je wordt dik en je haar wordt al grijs\nMaar je kunt heus nog wel flirten\nAch, je bent soms nog zo'n kind, zo onwijs\nNurks en baldadig om beurten\n\nWeet je nog? Weet je nog? Zeg nu niet nee\nWeet je nog, dat je toen zei?\n't Gelukkigste paar, dat zijn wij met z'n twee\nMijn liefde, liefste lief, gaat nooit voorbij\n\nWees nog eens lief, net als toen\nVraag me nog eens om een zoen\nBreng me weer rozen, sta weer te blozen\nAls je me ziet, net als toen\nWees nog eens lief en galant\nVind me weer mooi en charmant\nDan wordt de wereld weer net als vroeger\nEen sprookjesland",https://youtube.com/watch?v=e5gLyP977ew
1957,fr,France,Paule Desjardins,La Belle Amour,2,8,2,17,0,17,"Si vous aimez la nature, les lilas, les p'tits oiseaux\nLe Muscadet, la friture et la belle aventure\nSuivez le bord de l'eau\n\nVous verrez une guinguette où vous pourrez vous griser\nAux flonflons d'un bal musette, des yeux clairs de Lisette\nAvant de décider dans un baiser de tout oser\n\nComme l'eau coule à la fontaine, cette chanson\nC'est la chanson que filles et garçons chantent chacun à sa façon\nElle sera, la chose est certaine, dans tous les cœurs\nEt pour toujours – la chanson de la belle amour\n\nReprenons-la sous les lilas et lon lon la par-ci par-là\nC'est la belle amour\n\nCependant voici l'automne, la guinguette aux volets clos\nN'a plus d'amoureux, personne ne vient quand l'heure sonne\nRêver au bord de l'eau\n\nC'est le bal des feuilles mortes qui dansent sur le gravier\nEt qui vont de porte en porte au vent qui les emporte\nTournoyer par milliers en attendant quoi? – Le printemps\n\nReprenons-la sous les lilas et lon lon la par-ci par-là\nC'est la belle amour\nLa belle amour",https://youtube.com/watch?v=g2-XDnBHEbc
1957,dk,Denmark,Birthe Wilke & Gustav Winckler,Skibet Skal Sejle I Nat,3,9,3,10,0,10,"Farvel da, min tøs, og hold dig nu kvik\nJeg tilstår, mit hjerte gi'r li'som et stik\nImens jeg kysser dig nu\nJeg elsker dig, du\nMen skibet skal sejle i nat\nMen skibet skal sejle i nat\n\nVi mødtes i sjov, vi sværmede lidt\nMen det, der var letsind, blev alvor med ét\nOg du blev alting for mig\nNu er der kun dig\nMen skibet skal sejle i nat\nJa, skibet skal sejle i nat\n\nVi lægger en plan, vi drømmer en drøm\nVi kæmper os fremad trods modvind og strøm\nMod det vi ønsker så hedt\nSå ser vi med ét\nAt skibet skal sejle i nat\nJa, skibet skal sejle i nat\n\nAften i nymånens tegn\nTo står i mørket på kaj'n\nPige og mand\nÉn fra sø - én fra land\nAlting er sagt, nu står de der kun\nI tavshed\nTil sidst siger hun:\n\nFarvel da, min ven, pas godt på dig selv\nJeg syn's, du har været så fin og reel\nOg jeg vil være dig tro\nMit liv blev os to\nMen skibet skal sejle i nat\nMen skibet skal sejle i nat\n\nEndskønt jeg er din, med sjæl og med krop\nOg nu kan jeg larme og sætte mig op\nMod det, jeg ved, der skal ske\nOg græde og be'\nFor skibet skal sejle i nat\nJa, skibet skal sejle i nat\n\nPå én gang går verden i stå\nMan hører signalklokken slå\nEns håb ligger knust, hvert eneste et\nVi menn'sker bestemmer så lidt\n\nDen lykke, vi tror er fast og solid\nDen er kun på landlov på ubestemt tid\nFor alt, vi ejer, skal bort\nVi tror, det er vort\nMen skibet skal sejle i nat\nJa, skibet skal sejle i nat",https://youtube.com/watch?v=vX3WRMF5TuY
1957,lu,Luxembourg,Danièle Dupré,Amours Mortes (Tant De Peine),4,2,4,8,0,8,"Toi que j'aime\nTu m'as fait tant de peine\nComment effacer\nLes jours passés?\n\nTant de peine\nAu long des jours je traîne\nMendiant au souvenir\nUn peu de toi\n\nTa voix dans un rêve\nJe m'en souviens\nMurmurait sans trêve\nNe demandait rien\nTu étais si tendre\nCe soir d'été\nComment se défendre\nDe t'écouter?\n\nPlus personne\nEt ma vie monotone\nS'égrène au long des jours\nSans ton amour\nSans toi je frissonne\n\nCherchant ta main\nDans la nuit d'automne\nJ'espère en vain\nEt pourtant quand même\n\nMa vie en moi\nMe hurle: Je n'aime\nN'aime que toi\nTant de peine\nTu m'as fait tant de peine\n\nMais comment effacer\nLes jours passés?\nTa voix, tes lèvres\nEmprisonnent ma fièvre\nMais comment effacer\nLes jours passés?",https://youtube.com/watch?v=-0nMxZ8L1cI
1957,de,Germany,Margot Hielscher,"Telefon, Telefon",4,7,4,8,0,8,"Hallo – how do you do? \nHallo – merci beaucoup \nSo klingt's aus allen Ländern an mein Ohr\nHallo – grazie, sì, sì \nHallo – nada por mí \nMein Herz ist schon vergeben, no señor \n\nTelefon, Telefon, wenn dein Ruf erklingt\nFrag ich mich beim ersten Ton, was er Neues bringt\nTelefon, Telefon, still vergeht die Zeit\nLange, lange wart ich schon, gestern so wie heut\n\nDu kennst meine grosse Sehnsucht\nNach dem Schönsten dieser Welt\nDas mein Herz und meine Seele\nTag und Nacht in Atem hält\n\nTelefon, Telefon, lang war ich allein\nSag, wann werde ich zum Lohn endlich glücklich sein?\n\nHallo – endlich, Chéri\nHallo – was, morgen früh?\nSag, warum kommst du nicht mehr heute nacht?\nHallo – häng noch nicht ein\nHallo – ich bin allein\nUnd hab den ganzen Tag an dich gedacht\n\nTelefon, Telefon, wenn dein Ruf erklingt\nFrag ich mich beim ersten Ton, was er Neues bringt\nTelefon, Telefon, still vergeht die Zeit\nLange, lange wart ich schon, gestern so wie heut\n\nDu kennst meine grosse Sehnsucht\nNach dem Schönsten dieser Welt\nDas mein Herz und meine Seele\nTag und Nacht in Atem hält\n\nTelefon, Telefon, lang war ich allein\nSag, wann werde ich zum Lohn endlich glücklich sein?\n\nHallo? Oh, jetzt kann ich nicht mehr sprechen\nMein Lied ist aus – au revoir, bonsoir",https://youtube.com/watch?v=NoDpE2LtoZA
1957,it,Italy,Nunzio Gallo,Corde Della Mia Chitarra,6,4,6,7,0,7,"È tornata\nL'hanno accolta le stesse cose\nL'hanno attesa le stesse rose\nDolce sogno dagli occhi verdi\nÈ tornata ma è troppo tardi\nTroppo tardi per chi aspettò\n\nCorde della mia chitarra\nSe la mano trema sull'accordo\nSe la musica si perde\nNell'indifferenza di uno sguardo\n\nCorde della mia chitarra\nPerché vi fermate, perché non suonate?\nVoi sole per me\nAh, com'era dolce questa musica\nAh, e come adesso sembra inutile\nSe non ci ascolterà, non vi fermate\nCorde della mia chitarra\nSuonate per me\n\nCorde della mia chitarra\nPerché vi fermate, perché non suonate?\nVoi sole per me\nAh, com'era dolce questa musica\nAh, e come adesso sembra inutile\nSe non ci ascolterà, non vi fermate\nCorde della mia chitarra\nSuonate per me\n\nSuonate, suonate\nCorde della mia chitarra",https://youtube.com/watch?v=uUPzp2XJIyo
1957,gb,United Kingdom,Patricia Bredin,All,7,3,7,6,0,6,"All the golden dreams of yesterday\nAll the fragrance of a bygone May\nAll the words two hearts in love can say\nAll you'll ever mean to me, my darling\n\nAll we've shared throughout the passing years\nAll the laughter, all the sighs, the tears\nAll the joy of living, loving and forgiving\nThese are all to me\n\nAll the laughter, all the sighs, the tears\nAll the joy of living, loving and forgiving\nThese are all to me",https://youtube.com/watch?v=LGHNEpTNcXU
1957,be,Belgium,Bobbejaan Schoepen,Straatdeuntje,8,1,8,5,0,5,"Langs de straten danst er een deuntje\nEn ik blijf even staan\nWaar komt toch dat aardige deuntje\nWel zo ineens vandaan?\n\nHet speelt in de bomen\nDartelt in de wind\nHet is niet te tomen\n't Wordt al gauw m'n vriend\n\nLangs de straten zweeft er een deuntje\n't Is of een zonnestraal\nDoordringt met dat aardige deuntje\nTot in het kleinst portaal\n\nTralalala tralala tralalala...\nTralalala tralala tralalala...\n\nLangs de straten danst er een deuntje\nHet klinkt voor groot en klein\nOh, wat kan zo'n eenvoudig deuntje\nAl gauw onmisbaar zijn\n\nHet klopt op de ruiten\nVraagt: ""Laat mij erin""\nIk kan het zo fluiten\n't Stemt me goed gezind\n\nLangs de straten zweeft er een deuntje\nHet volgt mij overal\nEn ik hoop dat dit aardig deuntje\nSteeds mijn vriend blijven zal\n\nTralalala tralala tralalala...\nTralalala lalala tralalala...",https://youtube.com/watch?v=mu8ueVHTb9k
1957,ch,Switzerland,Lys Assia,L'enfant Que J'étais,8,10,8,5,0,5,"L'enfant que j'étais, où joue-t-il aujourd'hui?\nLes fleurs que j'aimais, qui me les a cueillies?\nMon cœur, te souviens-tu les robes blanches\nSur le chemin perdu de nos dimanches?\n\nDes mots pour chanter un visage d'ami\nDes nuits pour rêver, j'étais riche à l'envie\nQuand le cœur aux aguets la mèche folle\nS'en allait à l'école, l'enfant que j'étais\nLe temps d'un hiver, la ride vous prend\nLe temps d'un amour, et l'on devient grand\nIl en a coulé de l'eau sous les ponts\nRêves oubliés au fil des saisons\nLe temps d'un sourire, on est amoureux\nLe temps de mentir déjà l'on est vieux\n\nL'enfant que j'étais, où s'est-il égaré?\nLes fleurs que j'aimais, qui me les a fanées?\nMon cœur, te souviens-tu de nos promesses?\nLa vie n'a pas voulu de ta tendresse\nDes mots pour aimer, des espoirs et des nuits\nMensonges dorés, j'étais riche à l'envie\nQuand le cœur aux aguets l'amour en tête\nS'en allait à la fête, l'enfant que j'étais",https://youtube.com/watch?v=16ltDhw2lxs
1957,at,Austria,Bob Martin,"Wohin, Kleines Pony",10,5,10,3,0,3,Kurt Svab,"Wohin, kleines Pony, woll'n wir reiten?\nWohin soll mein Lied uns heut' begleiten?\nZu deinen Herden, den kleinen Pferden?\nDort sind die Täler unendlich weit\n\nWohin, kleines Pony, woll'n wir reiten?\nWohin soll mein Lied uns heut' begleiten?\nZur grünen Weide, dort in der Heide\nWo ich einst küßte, zur Rosenzeit\n\nHeut' ist ein Tag nur für uns zwei\nUnd du und ich sind sorgenfrei\nWer sieht die Welt denn noch so schön\nSo wunderschön wie wir sie seh'n?\n\nWohin, kleines Pony, woll'n wir reiten?\nMein Lied wird uns beide treu begleiten\nUnd durch die Felder, die weiten Felder\nKlingt 's dann im Wind, wie glücklich wir sind\n\nHeut' ist ein Tag nur für uns zwei\nUnd du und ich sind sorgenfrei\nWer sieht die Welt denn noch so schön\nSo wunderschön wie wir sie seh'n?\n\nWohin, kleines Pony, woll'n wir reiten?\nMein Lied wird uns beide treu begleiten\nUnd durch die Felder, die weiten Felder\nKlingt für uns zwei, mein herippihei"
